"","Papers","Partners","Journals","Citations","Years"
"1","Breaking the diffraction resolution limit by stimulated emission: stimulated-emission-depletion fluorescence microscopy","SW Hell, J Wichmann","Optics letters 19 (11), 780-782, 1994","4610","1994"
"2","Far-field optical nanoscopy","SW Hell","science 316 (5828), 1153-1158, 2007","2785","2007"
"3","Fluorescence microscopy with diffraction resolution barrier broken by stimulated emission","TA Klar, S Jakobs, M Dyba, A Egner, SW Hell","Proceedings of the National Academy of Sciences 97 (15), 8206-8210, 2000","1551","2000"
"4","Direct observation of the nanoscale dynamics of membrane lipids in a living cell","C Eggeling, C Ringemann, R Medda, G Schwarzmann, K Sandhoff, ...","Nature 457 (7233), 1159, 2009","1321","2009"
"5","Toward fluorescence nanoscopy","SW Hell","Nature biotechnology 21 (11), 1347, 2003","1087","2003"
"6","STED microscopy reveals that synaptotagmin remains clustered after synaptic vesicle exocytosis","KI Willig, SO Rizzoli, V Westphal, R Jahn, SW Hell","Nature 440 (7086), 935, 2006","988","2006"
"7","Microscopy and its focal switch","SW Hell","Nature methods 6 (1), 24, 2008","985","2008"
"8","STED microscopy reveals crystal colour centres with nanometric resolution","E Rittweger, KY Han, SE Irvine, C Eggeling, SW Hell","Nature Photonics 3 (3), 144, 2009","756","2009"
"9","Video-rate far-field optical nanoscopy dissects synaptic vesicle movement","V Westphal, SO Rizzoli, MA Lauterbach, D Kamin, R Jahn, SW Hell","Science 320 (5873), 246-249, 2008","748","2008"
"10","Breaking the diffraction barrier in fluorescence microscopy at low light intensities by using reversibly photoswitchable proteins","M Hofmann, C Eggeling, S Jakobs, SW Hell","Proceedings of the National Academy of Sciences 102 (49), 17565-17569, 2005","721","2005"
"11","Fluorescence nanoscopy by ground-state depletion and single-molecule return","J Fölling, M Bossi, H Bock, R Medda, CA Wurm, B Hein, S Jakobs, ...","Nature methods 5 (11), 943, 2008","715","2008"
"12","Subdiffraction resolution in far-field fluorescence microscopy","TA Klar, SW Hell","Optics letters 24 (14), 954-956, 1999","709","1999"
"13","Aberrations in confocal fluorescence microscopy induced by mismatches in refractive index","S Hell, G Reiner, C Cremer, EHK Stelzer","Journal of microscopy 169 (3), 391-405, 1993","683","1993"
"14","Bruchpilot promotes active zone assembly, Ca2+ channel clustering, and vesicle release","RJ Kittel, C Wichmann, TM Rasse, W Fouquet, M Schmidt, A Schmid, ...","Science 312 (5776), 1051-1054, 2006","639","2006"
"15","Ground-state-depletion fluorscence microscopy: A concept for breaking the diffraction resolution limit","SW Hell, M Kroug","Applied Physics B 60 (5), 495-497, 1995","601","1995"
"16","Properties of a 4Pi confocal fluorescence microscope","S Hell, EHK Stelzer","JOSA A 9 (12), 2159-2166, 1992","600","1992"
"17","Macromolecular-scale resolution in biological fluorescence microscopy","G Donnert, J Keller, R Medda, MA Andrei, SO Rizzoli, R Lührmann, ...","Proceedings of the National Academy of Sciences 103 (31), 11440-11445, 2006","553","2006"
"18","Nanoscale resolution in the focal plane of an optical microscope","V Westphal, SW Hell","Physical review letters 94 (14), 143903, 2005","546","2005"
"19","Fundamental improvement of resolution with a 4Pi-confocal fluorescence microscope using two-photon excitation","S Hell, EHK Stelzer","Optics Communications 93 (5-6), 277-282, 1992","497","1992"
"20","Multifocal multiphoton microscopy","J Bewersdorf, R Pick, SW Hell","Optics letters 23 (9), 655-657, 1998","496","1998"
"21","STED microscopy with continuous wave beams","KI Willig, B Harke, R Medda, SW Hell","Nature methods 4 (11), 915, 2007","472","2007"
"22","Focal spots of size <U+03BB>/23 open up far-field florescence microscopy at 33 nm axial resolution","M Dyba, SW Hell","Physical review letters 88 (16), 163901, 2002","464","2002"
"23","Anatomy and dynamics of a supramolecular membrane protein cluster","JJ Sieber, KI Willig, C Kutzner, C Gerding-Reimers, B Harke, G Donnert, ...","Science 317 (5841), 1072-1076, 2007","442","2007"
"24","Stimulated emission depletion (STED) nanoscopy of a fluorescent protein-labeled organelle inside a living cell","B Hein, KI Willig, SW Hell","Proceedings of the National Academy of Sciences 105 (38), 14271-14276, 2008","424","2008"
"25","Membrane protein sequestering by ionic protein–lipid interactions","G van den Bogaart, K Meyenberg, HJ Risselada, H Amin, KI Willig, ...","Nature 479 (7374), 552, 2011","419","2011"
"26","Fluorogenic probes for live-cell imaging of the cytoskeleton","G Lukinavicius, L Reymond, E D'este, A Masharina, F Göttfert, H Ta, ...","Nature methods 11 (7), 731, 2014","405","2014"
"27","Resolution scaling in STED microscopy","B Harke, J Keller, CK Ullal, V Westphal, A Schönle, SW Hell","Optics express 16 (6), 4154-4162, 2008","401","2008"
"28","Spherical nanosized focal spot unravels the interior of cells","R Schmidt, CA Wurm, S Jakobs, J Engelhardt, A Egner, SW Hell","Nature methods 5 (6), 539, 2008","395","2008"
"29","Sharper low-power STED nanoscopy by time gating","G Vicidomini, G Moneron, KY Han, V Westphal, H Ta, M Reuss, ...","Nature methods 8 (7), 571, 2011","364","2011"
"30","Nanoscale resolution in GFP-based microscopy","KI Willig, RR Kellner, R Medda, B Hein, S Jakobs, SW Hell","Nature methods 3 (9), 721, 2006","355","2006"
"31","Live-cell imaging of dendritic spines by STED microscopy","UV Nägerl, KI Willig, B Hein, SW Hell, T Bonhoeffer","Proceedings of the National Academy of Sciences 105 (48), 18982-18987, 2008","346","2008"
"32","Diffraction-unlimited all-optical imaging and writing with a photochromic GFP","T Grotjohann, I Testa, M Leutenegger, H Bock, NT Urban, ...","Nature 478 (7368), 204, 2011","338","2011"
"33","Fast 100-nm resolution three-dimensional microscope reveals structural plasticity of mitochondria in live yeast","A Egner, S Jakobs, SW Hell","Proceedings of the National Academy of Sciences 99 (6), 3370-3375, 2002","322","2002"
"34","Breaking the diffraction barrier in fluorescence microscopy by optical shelving","S Bretschneider, C Eggeling, SW Hell","Physical review letters 98 (21), 218103, 2007","314","2007"
"35","Fluorescence nanoscopy in whole cells by asynchronous localization of photoswitching emitters","A Egner, C Geisler, C Von Middendorff, H Bock, D Wenzel, R Medda, ...","Biophysical journal 93 (9), 3285-3290, 2007","307","2007"
"36","Major signal increase in fluorescence microscopy through dark-state relaxation","G Donnert, C Eggeling, SW Hell","Nature methods 4 (1), 81, 2007","306","2007"
"37","Nanoscopy in a living mouse brain","S Berning, KI Willig, H Steffens, P Dibaj, SW Hell","Science 335 (6068), 551-551, 2012","297","2012"
