"","Papers","Partners","Journals","Citations","Years"
"1","Large single-molecule fluorescence enhancements produced by a bowtie nanoantenna","A Kinkhabwala, Z Yu, S Fan, Y Avlasevich, K Müllen, WE Moerner","Nature Photonics 3 (11), 654, 2009","1671","2009"
"2","Introduction to photorefractive nonlinear optics","P Yeh","Wiley-Interscience, 1993","1659","1993"
"3","On/off blinking and switching behaviour of single molecules of green fluorescent protein","RM Dickson, AB Cubitt, RY Tsien, WE Moerner","Nature 388 (6640), 355, 1997","1428","1997"
"4","Optical detection and spectroscopy of single molecules in a solid","WE Moerner, L Kador","Physical review letters 62 (21), 2535, 1989","1385","1989"
"5","Illuminating single molecules in condensed matter","WE Moerner, M Orrit","Science 283 (5408), 1670-1676, 1999","1294","1999"
"6","Improving the mismatch between light and nanoscale objects with gold bowtie nanoantennas","PJ Schuck, DP Fromm, A Sundaramurthy, GS Kino, WE Moerner","Physical review letters 94 (1), 017402, 2005","1148","2005"
"7","Polymeric photorefractive materials","WE Moerner, SM Silence","Chemical reviews 94 (1), 127-155, 1994","1014","1994"
"8","Methods of single-molecule fluorescence spectroscopy and microscopy","WE Moerner, DP Fromm","Review of Scientific instruments 74 (8), 3597-3619, 2003","929","2003"
"9","Single photons on demand from a single molecule at room temperature","B Lounis, WE Moerner","Nature 407 (6803), 491, 2000","892","2000"
"10","Observation of the photorefractive effect in a polymer","S Ducharme, JC Scott, RJ Twieg, WE Moerner","Landmark Papers On Photorefractive Nonlinear Optics, 427-430, 1995","827","1995"
"11","Three-dimensional, single-molecule fluorescence imaging beyond the diffraction limit by using a double-helix point spread function","SRP Pavani, MA Thompson, JS Biteen, SJ Lord, N Liu, RJ Twieg, ...","Proceedings of the National Academy of Sciences 106 (9), 2995-2999, 2009","787","2009"
"12","Persistent spectral hole-burning: science and applications","GC Bjorklund","Springer-verlag, 1988","753","1988"
"13","Photon antibunching in the fluorescence of a single dye molecule trapped in a solid","T Basché, WE Moerner, M Orrit, H Talon","Physical review letters 69 (10), 1516, 1992","743","1992"
"14","Gap-dependent optical coupling of single “bowtie” nanoantennas resonant in the visible","DP Fromm, A Sundaramurthy, PJ Schuck, G Kino, WE Moerner","Nano letters 4 (5), 957-961, 2004","689","2004"
"15","Orientationally enhanced photorefractive effect in polymers","WE Moerner, SM Silence, F Hache, GC Bjorklund","JOSA B 11 (2), 320-330, 1994","554","1994"
"16","Single-molecule optical detection, imaging and spectroscopy","T Basché, WE Moerner, M Orrit, UP Wild","John Wiley & Sons, 2008","548","2008"
"17","Organic photorefractives: mechanisms, materials, and applications","O Ostroverkhova, WE Moerner","Chemical reviews 104 (7), 3267-3314, 2004","513","2004"
"18","A dozen years of single-molecule spectroscopy in physics, chemistry, and biophysics","WE Moerner","The Journal of Physical Chemistry B 106 (5), 910-927, 2002","507","2002"
"19","New directions in single-molecule imaging and analysis","WE Moerner","Proceedings of the National Academy of Sciences 104 (31), 12596-12602, 2007","478","2007"
